protein,S001_baseline,S001_week4,S002_baseline,S002_week4,S003_baseline,S003_week4,S004_baseline,S004_week4,S005_baseline,S005_week4,S006_baseline,S006_week4,S007_baseline,S007_week4,S008_baseline,S008_week4,S009_baseline,S009_week4,S010_baseline,S010_week4,S011_baseline,S011_week4,S012_baseline,S012_week4,S013_baseline,S013_week4,S014_baseline,S014_week4,S015_baseline,S015_week4,S016_baseline,S016_week4,S017_baseline,S017_week4,S018_baseline,S018_week4,S019_baseline,S019_week4,S020_baseline,S020_week4
PROT044,21714185.40446029,27878971.79668773,20321491.682261262,18372628.356697828,21443249.92986175,28345105.053606693,15107910.495487556,,21053804.78036192,22194172.842257313,23632411.437152546,21046690.59656896,20067375.364011504,20074997.001538634,24376279.694929685,17388080.14874793,19732939.399399947,21740868.06841835,23969056.260506496,16267464.500463018,21904574.89213351,24411367.62959196,19525997.508481402,27827446.839682393,18274427.814962637,25170931.69458611,22955523.162726153,22290570.003319148,13728667.55733354,25277017.54268293,23896995.22303306,19126420.31267149,22155143.58255116,27694520.720162872,14995713.319120223,26984525.47181527,,24650215.65897988,20991546.016889002,
PROT045,28579338.933845133,35452534.99614457,27424846.75844634,31850452.845195048,28402984.87472334,26422235.070893124,25014176.901970193,38140104.97511785,31727446.129415724,30592308.598798595,22813009.39196417,28903727.048588663,31393225.566024352,34952518.7380428,29444623.160026092,32289904.266869977,,19758900.157233935,,26003335.990442533,29925563.7669409,31348889.81286676,37153124.45551708,28508195.4609836,33591144.625424005,33285107.85188023,25593088.981371827,33335226.260324147,25327842.892478786,28382605.013008792,34723806.59617808,21393106.10652636,30503532.47952421,31784311.95844061,25497092.061397403,25225052.466211617,20069430.8989905,30555716.632186353,31534999.026037786,27904405.859135985
PROT046,6310174.055257993,4249025.519807713,3318771.2043904373,4274389.19015455,5437199.356219658,5259255.7714501135,3147993.2031988474,4014836.4623512803,,5084380.830199343,4382940.674768516,4633048.984561175,5071923.355184775,,5571204.026648374,3921922.203744226,4803395.184396502,4454665.221775155,4420535.750500163,4320473.355199311,,4127552.8158867024,5052977.855712557,4243165.723248508,3983113.366828768,5049374.127669439,4287227.098907825,5088668.34613428,4969748.068697906,5499509.6465994995,4772828.698628829,4045982.9886249457,3867179.634581778,4362519.39251128,4290979.361996449,5352768.322205606,4127534.625847673,3507370.895538045,3565481.0916020316,4613957.524338637
PROT047,21887554.371679537,21198324.46028186,20595480.841621853,27837398.643913213,21435453.907439504,32169694.63972093,31629276.588032484,25393651.577412955,24636413.526906036,21351518.269055326,20331932.517364256,25544307.312424876,25868169.787127543,32686968.12372676,21501312.146991637,27381368.16861196,26974256.610088896,30826152.24175928,28091192.09728261,32192469.65427697,22673463.21263474,27019230.38803205,39639913.49803481,22582574.85667266,16508824.3054659,29564975.555079885,25469641.032316756,32878097.788886927,25334596.208403513,45337065.98431085,22836614.703544714,35116430.272233285,24900108.43485209,35862768.69528475,,26337547.12991113,26584991.32002737,26449871.975036226,20311474.507324226,17638931.59791817
PROT048,12491094.292826805,18577659.09074343,16363615.74386696,11640783.623611594,13397369.215926759,13433675.577295749,15996151.689524094,12548628.011639666,14961129.529963464,12599982.14785356,12836344.945221016,10694120.062466662,15842997.147767637,,19972727.58179277,14594200.854033343,11620791.18744057,15565627.67416907,12840582.980507346,16048025.448221903,10641524.317038525,14576811.14941962,10619726.402093358,16669126.725278448,12104028.804430762,16656751.94415169,12537581.960591866,,11265963.104731781,12144516.20689003,14671552.059638962,15060868.066477237,16892263.211979866,17432713.357728466,9608457.787726164,13487600.277534641,14404327.173469357,18593893.469140574,19645469.98217487,14181760.111187031
PROT049,3805968.6846925393,3345089.6035543326,3588639.7528465753,3385431.716911155,2725953.6511635594,4131289.4640728245,3911473.291057285,3675967.7303882856,3228239.793740598,3070936.1825143425,3574591.479902803,2715776.606166396,2452369.6646358916,3548168.1451985007,2779194.994138568,3198279.513294193,3549341.964536104,3488560.7603613106,2600904.2252441645,,3093965.8134365776,3786759.976553535,4694032.992412922,2636550.015157865,3895484.677971912,,3485988.561766906,3218305.5753814154,2915528.509282273,3724958.9672566634,3115990.5462947534,4563293.671534533,3258217.500876598,3096387.2688705274,3664749.148545687,3853412.910501262,4229262.742688507,3267128.3482786897,4535433.171007128,3234273.8544807704
PROT050,12136135.180975562,14627228.322613629,13450927.482431175,,7865361.977105921,14270661.692752663,11319156.856588352,13372942.055003278,,13004783.19311707,11371673.919786658,13189474.922433924,11153185.521396935,11273563.73376065,12257610.63768677,12771013.359038057,8783396.74983203,15911004.164245872,10149272.925020183,12278299.437014148,12213509.222931853,17553080.573290884,13692639.501647236,13562983.785974545,10070375.002930187,11693033.944361867,,9725715.851398436,11442957.712631227,14843823.523364993,,10984276.846951585,12288638.880912919,10496967.13373943,10899620.838441644,15671078.418377869,12716056.376747837,11397223.346036803,14030675.512653781,14337967.782550458
PROT051,51080234.44718081,38045150.03955206,48077596.92727327,56759291.684625745,,48666215.31070867,,57146379.21498236,53105208.136977926,48914332.87540635,47532789.28544437,55688640.37057418,67021806.347619034,,39066155.755667955,57019533.23800851,46505664.3486639,49645273.13542895,50862678.34274094,43585057.718044005,32898259.360767495,,52206056.37292061,49899671.58912812,52417483.992050976,61668800.34319233,46255582.46115642,56005716.26573879,39280877.25011119,53007554.591038525,42540754.543593034,82177844.2440488,49080048.95431196,50467581.562557206,50569729.2192516,41882055.76877665,43016618.542946756,70781127.00106707,39967919.25273332,42440948.69906856
PROT052,10916715.972756805,14791988.563922675,9583825.608810352,13069419.873938717,16651872.092620896,16135668.427127754,14581038.953596147,15847094.962202426,11141744.220147096,12778060.12518806,11066926.524186354,,14431847.77295612,10261396.496383447,15156119.46058093,15960454.197737772,16490231.668540025,18066467.42995569,10997170.261038307,16234373.230418172,13369711.710760241,16181384.361697277,14129367.166470297,13186704.497632703,,19833250.181422926,13565249.66391848,14396928.716823654,13123293.652042415,13646553.460510666,12232851.783011701,12260131.636640674,11869619.6447549,,14863265.782876682,15806301.911364159,14947852.315413551,17314594.67087351,10769995.233432943,12681124.118656391
PROT053,4483342.129427008,4572179.293952951,4703059.905903037,5140090.839791192,4040737.2018342307,4923395.778889778,4506641.833923536,5141500.7223592745,5013870.153791331,4446699.6560368035,6490290.802480413,5192729.27666408,,4639859.080134082,5123463.824045522,5380728.850052474,5810124.007119528,5070020.225434245,5753495.920981381,,5816677.456758968,5576433.929612062,6214726.948841559,,4333466.948236608,5110263.075618775,4927836.298084366,5234783.4823767925,,5234930.371168845,5774725.489691114,4008457.45279085,4529908.893756581,6782798.107674187,5057123.328977267,4307276.487633019,4363667.158372208,4122939.7293525874,5212358.535505044,5103370.838904642
PROT054,36438639.33207514,30290696.810466718,40667191.40808589,35995108.68089274,30072990.587689254,52719651.62675951,41178873.090226896,38609958.94535437,38383215.974871494,31958130.45796279,27169218.75426444,31609027.78435842,41404662.6246594,38048339.46771305,41355160.76808763,51092680.190918006,46705007.286675505,42574754.0403283,44469597.29602883,58404076.701511085,38761771.9276804,56730452.61612222,44174264.16810061,42193824.0319485,44684851.11476014,41238979.836635984,35384820.04565988,43144041.65477318,44590528.40695297,52423744.952558495,38839050.645203054,48541362.28202932,32859118.392843142,57962184.85608867,32365370.589778997,31459842.405413654,39178656.05627781,,34685963.84241907,
PROT055,11061262.039694725,13235132.083961636,13444976.012942946,11092349.587973954,11144334.15205501,15507042.571872648,16754951.111946436,10297804.776080634,11312037.633388005,13216182.628536224,14670992.885616435,10833666.948968157,,10627288.54627683,12698584.249948049,19539109.25220327,,,12841188.1203741,,11427482.187381795,10584864.135130148,19816949.58445506,11489081.703324975,12281616.873410465,14876885.415829713,13734537.875826826,8311785.136995964,15381670.96944377,12893378.959094368,10284030.598790277,10093021.306031777,11157569.60488282,11936106.214281805,14845507.141442962,13403892.600433558,9707371.634188414,12398778.207156302,8260325.24585316,9659383.476272056
PROT056,38179696.54362023,45798621.82138719,44834510.051686324,45164090.00230376,29623134.33129412,52934071.25869365,30705411.540234238,,38251728.10947561,34817436.01193582,38420751.79829004,33095423.65361234,50008190.85380795,49027420.7377211,47748541.23043703,38450771.827696115,48847016.960111074,44191244.638740964,52867601.61192262,38407436.52846826,59854797.55626839,52840879.39280493,43011296.073891744,45988717.8933691,40885371.22863716,48930634.52909186,46362302.17014798,38394400.93539114,45001372.79797491,46518899.74228856,36456525.33628845,51962398.651445985,45340524.85108692,49380739.563754976,57163831.04107712,50146089.4933529,40633447.44903535,37571198.59954987,34840247.871021174,29373699.060212195
PROT057,8473430.750771761,10212293.338150714,10484121.73718711,,6092414.795737041,7353122.325728966,11313257.725086918,7359430.143323602,6756766.875308248,10658054.203714639,9537892.787957568,9211257.196823798,9714560.561635857,11358250.978897022,10301629.35778991,11451121.935995014,6120401.747731637,8037274.567192202,7547314.899088659,7178589.7023246335,7892641.901185035,8204088.1186087895,,11040071.894746054,9684644.917559726,11530539.662709164,9304635.321588678,8653275.290075742,7072873.185421609,11153582.77097794,8648359.960234987,,9131725.068218285,7733018.6329961475,,8386607.99410869,7380375.925074849,5669531.754190041,8812350.803866206,7986761.324375472
PROT058,16527671.171611032,25274410.797998056,24557209.810868096,,20844910.330977205,21329868.0587109,15062595.228404049,23321827.348527852,16198957.833522873,24094581.676385343,19808959.05912351,28764153.518123068,19919069.200096406,21021623.389314476,17213373.24446383,19847215.71385347,15601908.648856334,21652992.245618142,20708240.417393308,25882393.673890587,20930512.47310095,22667446.90146227,21750106.065959483,15957234.179475615,18038851.177650716,24312918.63025181,19168494.096434813,21458254.448162906,19586085.901894998,20971230.249861274,15858417.940997873,16246143.007185623,12971470.442908838,19444529.60864503,19684171.10343922,17979006.427630212,22426773.321968216,18027850.889694203,16158780.65642418,24062283.365998276
PROT059,40945954.61021817,41419008.09661514,33666580.15631083,48530325.358310886,45068514.81097643,39265487.99633342,50699630.93793199,43675601.9255952,37963672.78809893,43027046.45160001,50935727.15255027,35111255.08566353,,35582614.353694946,51824557.34826429,43560056.15943563,34141825.22600139,47690921.86439968,,51022480.62120193,37743286.053730644,42657428.55014436,43281864.53421774,53656880.38577818,36670932.7189278,54101214.251461044,28585718.612639092,48159490.0847115,32374912.14042699,34820750.742106825,39880018.487540096,69047307.20811196,60469044.71155858,51630947.33811447,36556437.29801763,32824130.933017943,33799642.19219442,36034492.746823035,34901359.21829717,44445657.919254646
PROT060,65663422.80426935,64349658.52961597,54517517.83657128,60919171.17888567,85188149.76702419,87900370.13574831,56656553.25524636,60659417.004700206,59146592.754616566,51760582.66871197,51271028.28185092,60227872.47136711,82868853.7347604,75249494.06548443,86618551.64943488,61882145.11074768,69906198.84879458,60562344.30782554,,67325049.31703907,55411354.81253706,53627598.94591536,,56204348.69986594,63246537.82823515,82367486.67464511,69223715.54657221,63981040.66662679,57575320.77514925,60306284.39529418,59737670.1459336,,,73633407.13582802,47353777.41007918,59513164.78836171,82569253.01890145,64970890.16215972,54369116.114629224,55754882.061562374
PROT061,22876603.745341524,23602075.184266645,21287330.990982115,29751380.978206012,18279029.525400262,27144479.910296723,19605939.360048387,29854999.833109032,22357828.925065253,23664308.445161495,27493378.400817256,30394131.60384682,25851265.921685956,23749084.141317606,,,23985628.632670585,29110406.78444795,22904675.214021936,22867441.90809926,25280487.503320355,23693402.66721192,22694125.753664285,22276170.556755,17921668.42704133,22775597.86461616,31751834.30160052,33444935.42695947,22632840.61097777,25378377.832474858,17428740.47478576,25729175.196229767,20965329.23456917,24974905.832153358,21238754.527389348,29559105.060394246,15996595.038269525,18620168.283494297,27013311.348877836,23188945.014456145
PROT062,9728432.500472387,8638095.748378146,6931454.528331497,8993489.940188283,7863915.876528759,8275194.392295633,7408469.464944579,5989815.833816014,6502857.617446565,10740490.49868052,8961642.179056462,7630177.85425317,7497946.284204038,10786799.258614467,9114707.471203754,7588160.095672709,5971466.423165755,11005881.683756527,9254854.288390923,8944778.542220764,9261318.25362012,8702004.950839652,10387068.334625179,10155180.226001572,8440481.51118775,9320268.327471482,6993013.765900805,9964266.835829243,6546464.77414703,6473012.036882683,5912524.113123984,7269344.511362694,6898846.135077852,8281916.38264426,8564736.67796312,7343546.261135307,8970875.384140927,7264206.540899922,7037715.694330552,7694420.051559724
PROT063,19321315.201979768,25704808.76317029,21909678.214626938,20083974.41096949,18903615.7788913,27964851.74390893,23673141.848523606,31360621.40949165,20783902.66916444,20842229.14907324,,25554726.9966542,21165083.204299606,22363746.055143896,18729479.65237188,20462102.955334626,23464816.60484025,17010721.01047874,21049437.41093152,22334096.804607935,14795413.832154432,23131513.803088263,21392795.8953282,26589233.879664477,26038689.767913774,19591774.874208704,21357075.621626098,,30105932.378090654,26353548.01716675,22803847.691513386,21556757.835004017,17545276.66638342,21933654.60277683,25858342.43307909,19498455.97542279,21901436.01068136,21828694.07209297,,21795437.64242298
PROT064,,104579060.39103921,68870571.78091331,93261892.12311654,76340455.03634052,121074646.87287238,60410348.537551545,104512707.65622985,79379684.66537313,92809415.31067078,80550235.06949787,100274129.51120795,100509652.8305202,81618347.2802452,93180454.93306783,79491358.95359287,89997346.80616729,109003530.96917751,75690926.87120378,102091602.95444241,74999901.53334643,101039802.00830051,99204320.8005477,99494515.40926854,80943916.16529812,129852682.61942518,,91027598.3753429,107498576.11460087,126791023.00854757,84043951.3890345,96981188.23784122,84511503.16159388,108574867.61635822,93472996.61946754,90964361.48266232,107161534.39189947,78333806.37103161,75477537.95389245,100655826.60569248
PROT065,54386822.71600479,68196942.693199,70498145.05737963,91678875.53537995,69349187.05155648,64454560.73065614,72308614.93375582,80444344.63142984,78404121.28214087,91095525.82183513,88487590.83078133,79901679.24292548,66625657.5310879,,73476227.96028768,55824194.47866009,61248430.847246654,68445039.2670129,73142139.39727767,69468857.25551902,55740239.11648528,85008808.57029481,63993688.65878623,88450384.10972312,51604988.80787877,79761016.26182628,53211045.38675009,67481022.51342146,70122186.43833847,,66206122.9312244,61277436.80278365,65461893.7866429,77039805.66840269,78478794.8265792,,71498571.68518977,69309342.67410906,51858690.47718687,60701477.36090873
PROT066,21325010.336723417,17911276.986974522,18719004.532156985,19029441.272924908,13538189.298530249,23710856.08013946,18422162.171775762,23085326.984214857,17793402.722331267,15912311.44601679,17523245.379229564,16513829.419792417,,21123931.9212519,22769611.793885287,16128916.124732774,16803642.91258415,18561000.64723355,16621285.49908093,16920608.012906756,,22741847.951892458,15773848.692444252,18738290.756601896,14003734.153423093,20003220.49317412,21470688.571139947,16434427.630198723,18274370.660935715,,15509581.837350784,15049712.218916107,20262219.126522485,15586758.811103674,13004789.745098185,14304308.647180054,19335292.289493695,19073687.869187076,20076005.034720596,17653070.018475525
PROT067,17751122.52628234,20685921.636783283,17900796.474449314,14435811.481678985,17057937.693088282,18796160.844465483,13395496.529472142,14162571.616895027,17423280.08667379,16953596.18196721,18959004.48100118,16781032.846221387,19149331.92665223,18550292.934919268,16625735.435181279,20131209.354476586,21718132.65608309,,18127059.29481638,15145578.839903895,16341747.502619362,27267200.318996143,17520495.501919266,23210872.079897393,20241314.333305538,23125499.963215325,17900788.955583703,16220347.332544701,17488738.76231254,20501274.464131292,14051351.243474305,11964256.035821326,15200042.421051396,19287497.253125273,20653320.80743864,15601579.39943143,16330076.7099947,15001469.273818614,14828691.506824784,18413771.89167534
PROT068,10225985.55670561,14815415.499963215,11908306.608426224,16017229.83375639,13716394.904275155,14513966.804268805,9084791.107525839,12367853.694877617,10419947.52422341,14127769.090264086,17094610.707274947,12599547.173974717,20137841.233313058,,16123677.189596064,12134078.938986499,13311002.828184107,13673958.726124328,9759309.72951863,12866492.481730916,17439794.097973168,14114857.303271377,14966758.80912396,13960137.740347892,9817515.77093353,16905144.545930997,14814952.375101056,13099057.542033153,13695805.690124378,14148019.758213261,15305325.215897977,17776152.67569145,11836294.873246795,22160959.266867418,16408862.11856381,11407354.656466763,13787939.450355286,15695089.436978389,16194065.81006201,17834787.37895516
PROT069,34785268.29013452,36895925.14100281,35221525.089623846,34649133.60864603,30057795.312009554,49062637.87754519,38270340.472143956,38553936.11829954,40433158.3361318,40937553.03581417,29712277.18880958,32632018.80089816,25870868.041208096,37363099.59030573,30321390.939743917,29363092.264678832,24404778.43465297,25573423.283374265,40862661.92352247,27267361.100644227,40035671.09536183,40948600.13399226,26508840.148191184,35813227.19440901,26873295.075716425,36509731.92268938,34466314.995782,31371848.146425806,30279594.27924063,30503488.521224346,,30473282.306854367,37585959.16653521,40481626.382257916,29296582.4310002,36961320.28073364,24712584.17203742,26051110.78286537,29871421.701111414,27499897.934645128
PROT070,8490766.046399262,11235805.794831213,12873061.263874056,10585253.428661522,11453908.5996723,9703481.184854418,10620729.49392144,8614490.384738935,8695640.519649785,10089842.582032135,10164604.481770612,10357111.012179688,9322073.941266403,9342014.205596356,9723679.922517942,9385579.215381527,8188773.647890837,10337716.758541614,9057222.42283146,10318125.119844882,9195174.197792869,13781125.989973012,11734167.90987275,9854711.747167945,9516536.452867704,12458756.204655081,9130584.269526027,11395850.60972634,8760934.947825491,10268957.578486519,11401095.116014004,10088145.823885811,9366005.309136726,9289823.273164695,10557572.8860171,9579854.623259973,10856068.622074865,9455050.456149776,8412793.156005211,10171774.682266062
PROT071,,5725573.987921954,6445751.699010552,4942309.327718609,4273399.027077747,5564693.0806960175,4084286.1185533744,3748316.897367356,6180979.5627339035,5442295.6771903075,,4002405.77469767,8318603.984248408,,4495491.749255162,3065790.6062544384,4665670.87302041,4195369.224310136,4097642.7408840014,4718954.072555327,,5926867.615724428,5056089.248763908,6250219.272488154,4757437.357188111,5650612.7160298135,,5459177.414204328,4076186.9473763546,4943746.34060733,4075789.6758196093,5763313.98059932,6056806.684791431,4517018.103976045,4792435.351805828,3659945.9770165663,4013594.3685191935,5449861.667695915,4166069.5382544594,4413237.87655523
PROT072,18684914.36088232,14460080.872215511,15037612.606837016,10337048.715853553,16684353.303854166,18437308.763272308,,15978095.591717927,16141914.35235348,12709418.65253806,11034999.483345224,20863242.501730308,21453039.769086067,14540372.214372898,14011598.74271141,17404185.333116174,15620281.433457632,17997753.949667316,13755193.807100803,14259803.547288153,15726989.527301406,16669930.530720575,19466048.56352098,14653582.094415909,14773944.61701227,,14472753.322612392,15010237.146636834,,12529681.877235048,,,17403356.4574238,21038607.882382758,,20315376.542188313,15967117.20881411,13518918.772872549,16667376.878377534,20342061.628945827
PROT073,13252614.908395022,18113870.946856253,14046556.927289817,19474114.54680706,14805401.69370551,16442614.340592353,15082895.45408878,19979748.033833615,14755424.368148996,15998890.902997987,,18915634.892718043,20204165.550899457,15600087.793948835,10144951.581067082,16465623.02454901,14689008.690861002,11988966.503733525,14298008.232034918,,13019927.01164169,25589097.367493086,27084670.485335033,15914718.41812293,13386405.729538409,17407806.327962983,14698229.71644889,13089790.495412277,14746008.230325373,19377725.366157766,14609898.030201541,17751172.37692001,15600433.850104641,24805083.45760466,,18403489.45519731,14231414.30717694,12715831.348847738,16223598.94027363,14592149.277562251
PROT074,11267446.368823508,10035353.982613813,8750920.981995678,7718112.687943242,8892466.697003527,9944822.653183203,6163008.681020799,,8560245.785486646,8483035.520507721,8334948.707685347,8444100.746479377,6568796.788529289,8337620.881864882,6669175.5085912505,6959321.920517132,,8819466.546399388,7831205.826090922,9762767.281995451,8106876.312335174,8105622.33021699,9677523.43763376,8769976.79504495,9048815.29015623,8430018.086960664,9560885.038585896,8719883.385576028,10548330.2271823,11071350.786752528,8647582.398077661,8871224.612412935,9262864.173131062,10295572.47211558,8269575.018856765,8805525.756868813,8993164.951893417,9527962.935879497,9380247.83813582,8845507.680169344
PROT075,51613608.12269646,59835785.42144318,70129891.86568597,68544123.24681354,82066054.00917473,66288196.88281929,44320695.16821651,62483370.564679705,69312867.68870135,47101237.84749518,47503323.32141297,64834433.94073868,73776305.35004623,76554016.446525,57181026.71661216,50811332.9728044,47908487.64656237,67890184.26847346,53876873.711323105,64096295.10197926,56713447.483846776,82869381.46949014,84574211.74769816,70083890.3885981,65424993.08018041,66490157.22789108,56808413.91027601,65828566.67214545,49380943.49715677,62011654.53130735,53290096.44025511,49489736.85387865,60191584.84838651,113445173.92858441,57128834.423128456,42758483.39688015,52317435.24523609,46807376.62928747,96376724.56488866,92461808.3201754
PROT076,60073252.89714354,48778277.82469467,61296464.25201966,80796486.1516606,54532502.750063516,50937873.32155191,74110670.92505604,65618963.07121224,61207575.13266413,60595503.48360149,63349379.92766384,79258558.82142973,81115156.9732834,95585072.39755177,59719347.840298526,85543973.36834002,58730471.63216046,65509446.87271607,53575855.00619967,83213485.08651388,75430843.681185,83614997.40961865,78378959.63168128,65141951.30321696,61159519.45120001,76965857.79572508,71917789.88414778,72422536.18049721,70996397.96367401,63074511.341844894,78482630.30718617,68990275.35752456,86674001.54726991,54298751.46257352,74990112.12948905,102633730.08063035,71811800.72796132,62619103.25278224,65712597.11922606,89183183.60625587
PROT077,22331369.702939615,16122598.932511378,19169799.1059335,,24864020.211025327,16102656.490174474,20580133.52326216,18955773.415580887,20128827.43092333,25845054.963486444,17543177.260797076,25468580.95907138,20303544.324175566,15696915.390545968,21021914.697443817,22990110.47608508,17780034.251782924,18974719.50308468,18259768.441071723,20325365.037822705,18646062.064999804,24400473.76850975,17688702.98249758,22552266.039841216,17781751.684151735,16733309.289363947,22500883.186957978,19958553.965426598,21659354.735996597,18391491.730990265,12952377.86414354,17932937.903119437,20437832.111461062,17175742.611398906,22387599.9236889,21316364.320252094,21129026.89344166,,21705711.295255743,16730157.004187074
PROT078,36092748.30410628,38973499.09171761,35517401.164506234,,36593637.96577385,33707350.493227124,28535506.890923377,34821673.381648295,26363976.7376068,32801740.369694397,38198086.59695667,37500538.34356886,53316046.35244647,29003758.827949878,46314491.08416479,28448637.900876403,28499874.12865924,42409536.45659337,34901777.125782,30037611.26153023,36505162.85797454,39664125.86088234,41771111.94772646,36946258.102183826,23360936.56641848,40892457.161344886,32493477.239873547,37450792.14296105,30887286.05429733,42558897.716979966,32848783.99659161,48068041.26444801,27403199.663485963,36137527.38987117,27321913.11800332,40376555.54538334,28670592.784332465,40597628.95488697,29807311.637038063,37741869.79624553
PROT079,37261941.23637608,49928399.14938943,43238493.7101695,44850231.57040401,36760479.658409074,60944614.29631011,41538065.20324189,38583008.73241053,40308681.1110043,44296266.362170324,37366497.38778972,45044216.57384431,40304565.20862675,32560621.315560497,32300273.760997415,46422631.496724695,34919462.24909954,37215061.04710796,28644762.40363068,42963278.81423062,36954930.57331051,32909558.04983734,57014735.05666688,36883260.27461465,,53125935.78107212,34509280.63889511,45401472.544669956,44145698.60925722,51372300.44825643,32387713.21150861,48713907.49263959,,51950123.24512804,31576778.620547827,39020561.43170742,34211195.82942207,37559768.6101692,57746300.90056184,39910277.70253603
PROT080,22713834.10031014,25205160.476254493,25735558.10887382,22082738.459415715,19628040.864689678,26095006.863806218,21649651.03599862,22285024.61824928,,,22619296.849538475,22184453.75205876,36034722.80003552,21121884.88150003,25130699.960538182,20178863.10368044,24897010.758870374,21472442.555376977,23359919.420595545,17211938.555229936,25226651.840619806,26492037.468534656,17176925.71349193,24711010.758135978,23278930.285417918,26795072.76137674,28265229.85357287,21060202.26525744,20095080.6758759,29626237.47150042,26347984.99827556,23634250.40443504,23788391.394428074,32734864.36206277,21183849.75217183,21936146.304787222,14756313.782967048,,,
PROT081,22688477.082126018,19064476.837438904,15020206.424454216,,15313810.26281883,16377343.973289955,13591060.134856448,12872916.20867338,12543855.22374645,13899400.269550554,13880285.78100411,16367815.829811687,21009663.359960817,14900120.318274718,15253121.719655303,12869136.603561275,12630623.095636532,21570527.411702797,15011603.893985778,12393937.02874735,17413702.34858493,19229016.619738482,24302760.116858125,16424626.356336242,15579221.53867403,18644204.838040303,12338575.531568823,18313652.39204029,11197853.698035443,19423195.52188083,14936306.279058859,20275049.317220528,16550908.614436172,17677480.863141496,13265829.994311715,16573183.678183576,11060864.377488438,17596084.06151244,,20676316.51280654
PROT082,40357088.06381669,35931778.79492221,29522353.072825152,32536265.49748126,,45204040.82049432,36832395.84009268,37501257.02560164,29408863.380463623,29075352.748851277,34284226.36348559,34566394.87661911,41776737.38361806,33799514.240867585,33863668.407210276,39975995.16996682,36143218.731553,23394347.670198537,46849057.19562078,34490041.503085636,31084107.470507126,32306463.440607026,,30581052.449705634,,,22394581.43311982,33780278.768705584,28399236.540041044,32943611.366265215,22301408.89523263,52443159.95825783,27926936.649341445,29615846.942006275,25423810.27359276,38440818.41662563,19881405.135233134,32864134.368392598,23184741.252712574,44352102.89584918
PROT083,17864531.58166556,,21016640.93603889,23930015.023211118,24960177.57134095,27297537.42806545,24144502.36314874,22527497.667689666,16500626.751867292,31258433.884519964,21962925.956086125,25273757.79266978,29539052.148542028,31082830.389275182,21940721.02951166,18213154.642724216,,31627859.701384928,,21947548.9396471,20957592.6228373,30245922.372523792,26541736.28145515,19067272.58091949,22959741.96631626,27135845.9900187,17741453.034738667,26345588.498529606,21302530.401073594,,29541336.63892257,19262177.94498105,25183896.96769717,26418957.02775616,26476160.85909769,20677677.075140703,26373325.99337393,22286173.93895407,19495658.401581924,22942716.350402597
PROT084,13263322.103141524,14963363.557938809,11767615.83580399,13567573.74977535,11112036.257494785,9292996.014671339,10618181.10635829,8582127.020099854,11051071.729249625,13110214.01521165,11104080.783188699,13452979.41877252,13941023.3451567,11160218.922449661,15728776.49572476,11381269.646595277,8318288.476312603,11570691.833124764,14767991.645489763,13465582.539147973,,14880347.314988779,,13304080.412123797,12616116.19610411,14172796.959047023,10733235.030298548,20195492.66691644,14616286.297499325,13184844.055717373,10306129.829773724,11513408.208242986,16888837.664540663,15729441.12364163,11946865.37582616,13419318.117975881,11619521.44699775,11628196.369653352,10023471.495922681,10143662.373871367
PROT085,20094237.279455755,27478436.624790613,19576109.166278683,28288336.13031261,27093384.757106893,28147129.62234351,30494565.147567928,29327868.059881736,22640330.753748197,28578201.52860025,22870655.836110294,15892220.475215979,,25214362.865973577,19470261.76997574,24629607.384621613,27374004.419660978,31739585.491508756,29019874.352815013,25233547.540954996,23222078.961775217,,19416933.936489694,26873049.31203505,32986211.089198653,25098670.077521943,22752243.594649322,,21584202.801299293,22785885.718260147,23513050.231185827,28505128.486726277,34234515.94118217,27383984.655548777,23923105.010637898,25984706.34734449,25701033.86834481,44570790.802540466,17084163.0797046,37341040.547220506
PROT086,7354814.705020211,6749666.760715885,7144617.875265083,8295916.591710572,6015508.478470906,9207771.682765331,5280076.213319429,7289169.3749790825,6210673.43611872,9112698.091979664,7358319.446770232,7625220.314886475,7489878.773729324,9333117.704370985,7958161.683210247,,7514507.4830346005,,4651200.292011734,9206351.952792732,7777034.771488836,10232548.63981612,9990125.74675585,7636858.138308589,8836506.702823132,7267128.240279676,7426947.533834891,7590973.339606121,6348876.22373297,7904887.165658827,8478698.30636726,7631103.983690112,5193638.443753403,6727182.865837744,6198481.265365474,7794556.149174405,5705881.345466928,5358649.450714021,6705399.749226395,7485652.575089022
PROT087,11525828.274400864,12630358.702440718,12730095.000303723,13560352.493699364,12525189.17599755,,11977769.408178719,12195825.344442254,11630262.55752077,13517956.215473061,12079956.426780563,,15901548.438046047,16752906.875381771,,,13050881.51889771,11072334.253966548,17706191.887824383,14511352.913569571,15007091.684485,22366268.682674915,17226525.65079895,13517008.048308225,,15508993.017908506,12126319.651205756,12865240.962026116,,20538856.323878128,15478884.739103341,16756145.781814115,10011449.508606099,17497579.541039724,13708884.155043758,16365550.50936292,13023049.396580335,15734409.448165497,10767051.363231177,8910667.796451746
